#ResidueName    AtomName    AtomType(from Gromacs)    gbr(overlapscalefactors)    hct(standard radii for GB/SA )
TRPE   HE1    H   1.15    0.85
TRPE   CE2    CN   1.875    0.72
TRPE   CZ2    CA   1.875    0.72
TRPE   HZ2    HA   1.25    0.85
TRPE   CH2    CA   1.875    0.72
TRPE   HH2    HA   1.25    0.85
TRPE   CZ3    CA   1.875    0.72
TRPE   HZ3    HA   1.25    0.85
TRPE   CE3    CA   1.875    0.72
TRPE   HE3    HA   1.25    0.85
TRPE   CD2    CB   1.875    0.72
TRPE   C    C   1.875    0.72
TRPE   OXT    O2   1.48    0.85
TRPE   O    O2   1.48    0.85
PHEE   N    N   1.7063    0.79
PHEE   H    H   1.15    0.85
PHEE   CA    CT   1.9    0.72
PHEE   HA    H1   1.25    0.85
PHEE   CB    CT   1.9    0.72
PHEE   HB2    HC   1.25    0.85
PHEE   HB3    HC   1.25    0.85
PHEE   CG    CA   1.875    0.72
PHEE   CD1    CA   1.875    0.72
PHEE   HD1    HA   1.25    0.85
PHEE   CE1    CA   1.875    0.72
PHEE   HE1    HA   1.25    0.85
PHEE   CZ    CA   1.875    0.72
PHEE   HZ    HA   1.25    0.85
PHEE   CE2    CA   1.875    0.72
PHEE   HE2    HA   1.25    0.85
PHEE   CD2    CA   1.875    0.72
PHEE   HD2    HA   1.25    0.85
PHEE   C    C   1.875    0.72
PHEE   OXT    O2   1.48    0.85
PHEE   O    O2   1.48    0.85
TYRE   N    N   1.7063    0.79
TYRE   H    H   1.15    0.85
TYRE   CA    CT   1.9    0.72
TYRE   HA    H1   1.25    0.85
TYRE   CB    CT   1.9    0.72
TYRE   HB2    HC   1.25    0.85
TYRE   HB3    HC   1.25    0.85
TYRE   CG    CA   1.875    0.72
TYRE   CD1    CA   1.875    0.72
TYRE   HD1    HA   1.25    0.85
TYRE   CE1    CA   1.875    0.72
TYRE   HE1    HA   1.25    0.85
TYRE   CZ    C   1.875    0.72
TYRE   OH    OH   1.535    0.85
TYRE   HH    HO   1.05    0.85
TYRE   CE2    CA   1.875    0.72
TYRE   HE2    HA   1.25    0.85
TYRE   CD2    CA   1.875    0.72
TYRE   HD2    HA   1.25    0.85
TYRE   C    C   1.875    0.72
TYRE   OXT    O2   1.48    0.85
TYRE   O    O2   1.48    0.85
GLUE   N    N   1.7063    0.79
GLUE   H    H   1.15    0.85
GLUE   CA    CT   1.9    0.72
GLUE   HA    H1   1.25    0.85
GLUE   CB    CT   1.9    0.72
GLUE   HB2    HC   1.25    0.85
GLUE   HB3    HC   1.25    0.85
GLUE   CG    CT   1.9    0.72
GLUE   HG2    HC   1.25    0.85
GLUE   HG3    HC   1.25    0.85
GLUE   CD    C   1.875    0.72
GLUE   OE1    O2   1.48    0.85
GLUE   OE2    O2   1.48    0.85
GLUE   C    C   1.875    0.72
GLUE   OXT    O2   1.48    0.85
GLUE   O    O2   1.48    0.85
ASPE   N    N   1.7063    0.79
ASPE   H    H   1.15    0.85
